"Nom du produit","URL du produit","Image du produit","Prix (CAD)","Évaluation (sur 5)","Nombre d'évaluations","Disponibilité"
"Téléviseur intelligent DELO HDR UHD 4K B5 de 48 po de LG (OLED48B5PUA) - 2025 - Exclusivité Best Buy","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-delo-hdr-uhd-4k-b5-de-48-po-de-lg-oled48b5pua-2025-exclusivite-best-buy/19281950","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19281/19281950.jpg","999.99","5","2","Expédition disponible"
"Téléviseur intelligent Roku HDR DEL UHD 4K de 43 po Select Series de Roku (43R4C5CA) - 2025 - Exclusivité Best Buy","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-roku-hdr-del-uhd-4k-de-43-po-select-series-de-roku-43r4c5ca-2025-exclusivite-best-buy/18924388","https://multimedia.bbycastatic.ca/multimedia/products/250x250/189/18924/18924388.jpg","343.89","4.85","983","Expédition disponible"
"Téléviseur intelligent DELO HDR UHD 4K 77 po série XR8B Bravia de Sony (K77XR8B) - Argenté foncé","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-delo-hdr-uhd-4k-77-po-serie-xr8b-bravia-de-sony-k77xr8b-argente-fonce/19415750","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19415/19415750.jpg","3018.24","4.63","24","Expédition disponible"
"Téléviseur intelligent Tizen HDR DEL UHD 4K de 58 po série U8200F de Samsung (UN58U8200FFXZC) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-tizen-hdr-del-uhd-4k-de-58-po-serie-u8200f-de-samsung-un58u8200ffxzc-2025/19382531","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19382/19382531.jpg","549.99","4.86","7","Expédition disponible"
"Téléviseur intelligent mini-DEL HDR UHD 4K QNED evo AI QNED92 de 85 po série QNED92 de LG (85QNED92AUA) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-mini-del-hdr-uhd-4k-qned-evo-ai-qned92-de-85-po-serie-qned92-de-lg-85qned92aua-2025/19326004","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19326/19326004.jpg","4518.24","4","1","Expédition disponible"
"Téléviseur intelligent DEL HDR UHD 4K de 55 po NanoCell AI NANO80 série NANO80AUA de LG (55NANO80AUA) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-del-hdr-uhd-4k-de-55-po-nanocell-ai-nano80-serie-nano80aua-de-lg-55nano80aua-2025/19290038","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19290/19290038.jpg","668.24","0","0","Expédition disponible"
"Téléviseur intelligent Google QLED Pro mini-DEL HDR UHD 4K série U78QG de 100 po de Hisense (100U78QG) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-google-qled-pro-mini-del-hdr-uhd-4k-serie-u78qg-de-100-po-de-hisense-100u78qg-2025/19326116","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19326/19326116.jpg","3818.24","4.87","23","Expédition disponible"
"Téléviseur intelligent Roku QLED HDR UHD 4K de 65 po Select Series de Roku (65R5C5CA) - 2025 - Exclusivité Best Buy","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-roku-qled-hdr-uhd-4k-de-65-po-select-series-de-roku-65r5c5ca-2025-exclusivite-best-buy/19206349","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19206/19206349.jpg","598.24","4.85","984","Expédition disponible"
"Téléviseur intelligent mini-DEL HDR UHD 4K QNED AI QNED80 série QNED80AUA de 43 po de LG (43QNED80AUA) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-mini-del-hdr-uhd-4k-qned-ai-qned80-serie-qned80aua-de-43-po-de-lg-43qned80aua-2025/19292393","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19292/19292393.jpg","563.89","0","0","Expédition disponible"
"Téléviseur intelligent Google QD mini-DEL HDR UHD 4K de 50 po série QM5K de TCL (50QM5K) - 2025 - Exclusivité Best Buy","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-google-qd-mini-del-hdr-uhd-4k-de-50-po-serie-qm5k-de-tcl-50qm5k-2025-exclusivite-best-buy/19276968","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19276/19276968.jpg","549.99","5","1","Expédition disponible"
"Lecteur multimédia de diffusion en continu Streaming Stick 2025 HD de Roku avec télécommande vocale","https://www.bestbuy.ca/fr-ca/produit/lecteur-multimedia-de-diffusion-en-continu-streaming-stick-2025-hd-de-roku-avec-telecommande-vocale/19308960","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19308/19308960.jpg","39.99","4.65","69","Expédition disponible"
"Haut-parleur d'étagère SSCS5M2 de Sony - Paire - Noir","https://www.bestbuy.ca/fr-ca/produit/haut-parleur-d-etagere-sscs5m2-de-sony-paire-noir/19371863","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19371/19371863.jpg","229.99","4.67","6","Expédition disponible"
"Téléviseur intelligent Google HDR DEL UHD 4K de 50 po BRAVIA 2 II série S20M2 BRAVIA 2 de Sony (K50S20M2) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-google-hdr-del-uhd-4k-de-50-po-bravia-2-ii-serie-s20m2-bravia-2-de-sony-k50s20m2-2025/19254955","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19254/19254955.jpg","718.24","4.56","16","Expédition disponible"
"Téléviseur intelligent avec IA webOS HDR QNED UHD 4K de 65 po QNED70 de LG (65QNED70AUA.ACC) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-avec-ia-webos-hdr-qned-uhd-4k-de-65-po-qned70-de-lg-65qned70aua-acc-2025/19412344","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19412/19412344.jpg","768.24","0","0","Expédition disponible"
"Téléviseur intelligent Roku QLED HDR UHD 4K de 75 po Select Series de Roku (75R5C5CA) - 2025 - Exclusivité Best Buy","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-roku-qled-hdr-uhd-4k-de-75-po-select-series-de-roku-75r5c5ca-2025-exclusivite-best-buy/19206348","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19206/19206348.jpg","918.24","4.85","983","Expédition disponible"
"Barre de son 2.1 canaux 300 watts HW-B53CF/ZC de Samsung","https://www.bestbuy.ca/fr-ca/produit/barre-de-son-2-1-canaux-300-watts-hw-b53cf-zc-de-samsung/19458374","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19458/19458374.jpg","253.74","0","0","Expédition disponible"
"Téléviseur intelligent Google HDR QLED UHD 4K de 85 po CanvasTV série S7N de Hisense (85S7N) - 2025","https://www.bestbuy.ca/fr-ca/produit/televiseur-intelligent-google-hdr-qled-uhd-4k-de-85-po-canvastv-serie-s7n-de-hisense-85s7n-2025/19366690","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19366/19366690.jpg","2999.99","4.5","2","Expédition disponible"
